name,imp
city_Тайшет,0
city_Тимашевск,0
city_Тихвин,0
city_Тихорецк,0
city_Тобольск,0
city_Тольятти,0
city_Томск,1
city_Тосног,0
city_Троицк,0
city_Тула,0
city_Тутаев,0
city_Тюмень,0
city_Узловая,0
city_Ульяновск,0
city_Усинск,0
city_УсольеСибирское,0
city_Уссурийск,0
city_УстьИлимск,0
city_УстьКут,0
city_УстьОрдынский,0
city_Уфа,0
city_Ухта,0
city_Фокино,0
city_ХантыМансийск,0
city_Чайковский,0
city_Чебаркуль,0
city_Челябинск,0
city_Черемушки,0
city_Череповец,0
city_Шелехов,0
city_Шерегеш,0
city_Энгельс,0
city_Югорск,0
city_Юрга,0
city_Яблоновский,0
city_Ярославль,0
city_Ярцево,0
city_Ясногорск,0
city_городСветлый,0
city_рабочийпослокМаркова,0
osm_city_nearest_name_Ангарск,0
osm_city_nearest_name_Арзамас,0
osm_city_nearest_name_Артм,0
osm_city_nearest_name_Ачинск,0
osm_city_nearest_name_Балашиха,0
osm_city_nearest_name_Барнаул,0
osm_city_nearest_name_Белгород,0
osm_city_nearest_name_Бердск,0
osm_city_nearest_name_Березники,0
osm_city_nearest_name_Бийск,0
osm_city_nearest_name_Братск,0
osm_city_nearest_name_Брянск,0
osm_city_nearest_name_ВеликиеЛуки,0
osm_city_nearest_name_ВеликийНовгород,0
osm_city_nearest_name_Владивосток,0
osm_city_nearest_name_Волгоград,0
osm_city_nearest_name_Волгодонск,0
osm_city_nearest_name_Волжский,0
osm_city_nearest_name_Вологда,0
osm_city_nearest_name_Воронеж,0
osm_city_nearest_name_Воткинск,0
osm_city_nearest_name_ГорноАлтайск,0
osm_city_nearest_name_Дзержинск,0
osm_city_nearest_name_Долгопрудный,0
osm_city_nearest_name_Домодедово,0
osm_city_nearest_name_Екатеринбург,2
osm_city_nearest_name_Ессентуки,0
osm_city_nearest_name_Зеленоград,0
osm_city_nearest_name_Златоуст,0
osm_city_nearest_name_Иваново,0
osm_city_nearest_name_Ижевск,0
osm_city_nearest_name_Иркутск,1
osm_city_nearest_name_Казань,0
osm_city_nearest_name_Калининград,0
osm_city_nearest_name_Калуга,0
osm_city_nearest_name_КаменскУральский,0
osm_city_nearest_name_Кемерово,5
osm_city_nearest_name_Киров,0
osm_city_nearest_name_Колпино,0
osm_city_nearest_name_Королв,0
osm_city_nearest_name_Кострома,0
osm_city_nearest_name_Красногорск,0
osm_city_nearest_name_Краснодар,0
osm_city_nearest_name_Красноярск,4
osm_city_nearest_name_Курск,0
osm_city_nearest_name_Липецк,0
osm_city_nearest_name_Люберцы,0
osm_city_nearest_name_Магнитогорск,0
osm_city_nearest_name_Майкоп,0
osm_city_nearest_name_Миасс,0
osm_city_nearest_name_Москва,0
osm_city_nearest_name_Мытищи,0
osm_city_nearest_name_НабережныеЧелны,0
osm_city_nearest_name_НарьянМар,0
osm_city_nearest_name_Находка,0
osm_city_nearest_name_Нефтекамск,0
osm_city_nearest_name_Нефтеюганск,0
osm_city_nearest_name_Нижневартовск,0
osm_city_nearest_name_Нижнекамск,0
osm_city_nearest_name_НижнийНовгород,1
osm_city_nearest_name_НижнийТагил,0
osm_city_nearest_name_Новокузнецк,0
osm_city_nearest_name_Новомосковск,0
osm_city_nearest_name_Новороссийск,0
osm_city_nearest_name_Новосибирск,1
osm_city_nearest_name_Новочеркасск,0
osm_city_nearest_name_Новошахтинск,0
osm_city_nearest_name_Норильск,0
osm_city_nearest_name_Обнинск,0
osm_city_nearest_name_Одинцово,0
osm_city_nearest_name_Омск,28
osm_city_nearest_name_Орл,0
osm_city_nearest_name_Пенза,0
osm_city_nearest_name_Первоуральск,0
osm_city_nearest_name_Пермь,0
osm_city_nearest_name_Петрозаводск,1
osm_city_nearest_name_Подольск,0
osm_city_nearest_name_Прокопьевск,0
osm_city_nearest_name_Псков,0
osm_city_nearest_name_Пушкин,0
osm_city_nearest_name_РостовнаДону,0
osm_city_nearest_name_Рубцовск,0
osm_city_nearest_name_Самара,0
osm_city_nearest_name_СанктПетербург,0
osm_city_nearest_name_Саранск,0
osm_city_nearest_name_Сарапул,0
osm_city_nearest_name_Саратов,0
osm_city_nearest_name_Северск,0
osm_city_nearest_name_СергиевПосад,0
osm_city_nearest_name_Серов,0
osm_city_nearest_name_Серпухов,0
osm_city_nearest_name_Смоленск,0
osm_city_nearest_name_Соликамск,0
osm_city_nearest_name_Сочи,0
osm_city_nearest_name_СтарыйОскол,0
osm_city_nearest_name_Стерлитамак,0
osm_city_nearest_name_Сургут,0
osm_city_nearest_name_Сызрань,0
osm_city_nearest_name_Сыктывкар,0
osm_city_nearest_name_Таганрог,0
osm_city_nearest_name_Тобольск,0
osm_city_nearest_name_Тольятти,0
osm_city_nearest_name_Томск,2
osm_city_nearest_name_Тула,0
osm_city_nearest_name_Тюмень,0
osm_city_nearest_name_Узловая,0
osm_city_nearest_name_Ульяновск,0
osm_city_nearest_name_Уссурийск,0
osm_city_nearest_name_Уфа,0
osm_city_nearest_name_ХантыМансийск,0
osm_city_nearest_name_Химки,0
osm_city_nearest_name_Челябинск,0
osm_city_nearest_name_Череповец,0
osm_city_nearest_name_Шахты,0
osm_city_nearest_name_Электросталь,0
osm_city_nearest_name_Энгельс,0
osm_city_nearest_name_Ярославль,0
region_Алтай,0
region_Алтайскийкрай,0
region_Башкортостан,0
region_Белгородскаяобласть,0
region_Брянскаяобласть,0
region_Волгоградскаяобласть,0
region_Вологодскаяобласть,0
region_Воронежскаяобласть,0
region_Ивановскаяобласть,0
region_Иркутскаяобласть,1
region_Калининградскаяобласть,0
region_Калужскаяобласть,0
region_Карелия,0
region_Кемеровскаяобласть,5
region_Кировскаяобласть,0
region_Коми,0
region_Костромскаяобласть,0
region_Краснодарскийкрай,0
region_Красноярскийкрай,4
region_Курскаяобласть,13
region_Ленинградскаяобласть,0
region_Липецкаяобласть,0
region_Мордовия,0
region_Москва,38
region_Московскаяобласть,0
region_Нижегородскаяобласть,3
region_Новосибирскаяобласть,1
region_Омскаяобласть,9
region_Орловскаяобласть,0
region_Пензенскаяобласть,0
region_Пермскийкрай,0
region_Приморскийкрай,0
region_Ростовскаяобласть,0
region_Самарскаяобласть,0
region_СанктПетербург,1
region_Саратовскаяобласть,0
region_Свердловскаяобласть,3
region_Смоленскаяобласть,0
region_Ставропольскийкрай,0
region_Татарстан,0
region_Томскаяобласть,2
region_Тульскаяобласть,0
region_Тюменскаяобласть,0
region_Удмуртия,0
region_Ульяновскаяобласть,0
region_ХантыМансийскийАО,0
region_Челябинскаяобласть,0
region_Ярославскаяобласть,0
reg_groups_Москва,41
reg_groups_Питер,15
reg_groups_Сибирь,27
